University of California Santa Cruz,,,,,,,,,,,,,,,
"Gan,Elaine M",FILM- 170A,Digital Media Prod,2,6,3,5,1,2,1,1,0,0,1,0,0
"Garrick-Bethell,Ian",EART- 160,Planetary Science,2,1,2,5,1,0,0,2,0,1,0,1,1
"Genova,Thomas Francis",SPAN- 3,Instr Spanish Lang,0,10,9,3,0,0,0,0,1,0,0,0,0
"Georgiou,George",ECON- 100A,Intermed Microecon,5,12,8,8,9,8,12,13,4,3,0,0,2
"Gerster,Carole J",MERR- 80B,RI:Cultural IDs&Glob,0,5,4,13,15,5,2,1,0,0,2,0,0
"Gibbs,Raymond W",PSYC- 135,Feelings & Emotions,2,23,40,29,40,12,12,12,0,5,0,0,2
"Giges,Robert Eli",PRTR- 80B,RI:WritingAcrossArts,0,0,5,8,6,0,1,0,1,0,0,0,0
,PRTR- 180,Pedagogical Practic,2,13,0,0,0,0,0,0,0,0,0,0,0
"Ginzburg,Viktor",MATH- 23B,Multivariable Calc,7,12,14,11,9,6,14,20,10,10,0,0,2
"Gjerde,Per F",PSYC- 60,IntroPersonalityPsych,7,50,0,2,41,0,1,14,0,1,1,1,1
"Glass,Ronald",EDUC- 173,Critical Pedagogy,0,8,23,10,6,0,1,0,0,0,0,0,0
"Gliessman,Stephen R",ENVS- 91F,Community /Agroecolgy,0,14,1,1,2,0,0,0,0,0,3,0,0
,ENVS- 130A,Agroeco & Sust Ag,1,20,17,18,18,11,4,2,0,0,2,0,0
"Godzich,Wlad B",LIT- 1,Literary Interpret,2,10,24,16,19,18,12,8,7,10,6,4,5
"Gomoll,Lucian Francis Joseph",HISC- 107,Freak Shows,1,7,5,3,1,0,1,0,0,0,1,0,1
"Gong,Qi",AMS- 10,Math Methods I,0,4,6,17,11,9,17,12,7,6,0,0,2
"Gonzalez Pagani,Maria",SPSS- 61,Spanish Speakers,6,7,12,11,9,2,1,0,0,0,2,0,0
"Gonzalez,Julie H",ECON- 101,Managerial Econ,1,8,11,10,11,8,20,18,7,3,2,1,0
,ECON- 170,Environmental Econ,1,1,1,2,4,3,2,1,1,1,0,0,0
"Gordon,June A",EDUC- 170,School/Asian Imm,0,21,18,8,0,0,1,0,0,0,0,0,0
"Gorry,Christopher A",ECON- 100B,Intermed Macroecon,5,13,8,12,24,23,16,14,4,7,3,0,1
"Gould,Deborah B",SOCY- 172,Social Movements,0,6,5,4,14,4,2,0,0,0,3,0,0
"Grabe,Shelly A.",PSYC- 140G,Women's Lives,1,31,30,21,12,11,5,2,0,3,2,0,0
"Gray,Chris Hables",CRWN- 80B,RI:Ethical Issues,4,17,11,6,4,4,0,1,0,0,0,0,0
"Gray,Herman S",SOCY- 116,Comm & Mass Media,0,2,6,7,13,10,4,5,0,0,3,0,0
"Green,Richard Edward E",BME- 130,Genomes,1,5,2,2,1,0,0,2,0,0,1,0,0
"Greider,Brett E",KRSG- 80A,UD:Power&Represnt,0,10,4,15,10,5,0,2,0,0,0,0,0
"Gritsch De Cordova,Holly",EDUC- 194F,Group Projects,0,36,16,8,2,0,0,0,0,0,33,0,0
"Gu,Claire Xg",EE- 130,Optoelect/Photonics,0,7,5,2,5,0,0,0,0,0,0,0,0
"Guerra,Francesca",MERR- 80A,UD: Cultural IDs,0,11,9,11,8,5,1,0,0,2,0,0,0
,SOCY- 152,Body and Society,4,18,8,9,5,1,5,2,0,2,2,0,0
"Guevara,Daniel Edward",PHIL- 11,Intro To Philosophy,0,35,16,26,20,6,11,5,2,0,23,0,0
"Guha Thakurta,Puragra",ASTR- 1,The Cosmos,17,20,22,20,24,14,27,28,0,2,17,0,0
"Gustafson,Irene",FILM- 80A,The Film Exp,0,27,53,49,65,40,18,11,2,1,13,0,2
"Gweon,Gey-Hong",PHYS- 105,Mechanics,3,5,9,9,11,6,10,11,7,0,0,0,1
"Gwyn,Melissa",ART- 24A,"Intr Painting, Oil",0,7,6,2,3,1,1,1,0,0,0,0,0
"Haber,Howard E",PHYS- 116C,Math Method Physics,3,4,5,8,11,9,13,8,4,2,0,0,0
"Habicht Mauche,Judith A",ANTH- 170,His Archaeol Theory,2,2,4,3,6,2,1,0,0,1,1,1,1
,ANTH- 197F,Laboratory Tutorial,0,1,2,0,0,0,0,0,0,0,14,0,0
"Haddad,Brent M",ENVS- 165,Fresh Water Policy,5,10,6,6,13,6,0,15,3,1,5,0,3
"Hagen,Joy Anna",CLEI- 80A,UD:Environ/Society,0,14,10,8,3,2,1,1,0,1,0,0,0
,CLEI- 99,Tutorial,3,7,0,0,0,0,0,0,0,0,0,0,0
"Hamilton,Roxanne P",WRIT- 2,Rhetoric & Inquiry,0,2,4,15,12,4,0,0,1,0,9,1,0
"Hammack,Phillip L",PSYC- 183,History Of Psych,1,84,0,0,3,0,0,0,0,4,1,0,4
"Hankamer,Jorge",LING- 114,Syntax III,0,9,0,0,2,0,0,0,0,0,1,0,0
"Harizanov,Boris Yordanov",LING- 120,Structure English,0,7,4,6,9,3,3,3,0,1,5,0,0
"Haughwout,Margaretha Anne",ART- 80F,Intro Digital Media,0,4,24,13,19,2,0,2,0,0,0,0,0
"Hawkes,Ellen G",PRTR- 80B,RI:WritingAcrossArts,0,6,5,12,11,7,5,1,0,0,0,0,0
"Hays,Shannon",PRTR- 80A,UD: Writing/Arts,2,7,4,13,7,6,3,3,1,1,0,0,1
"Hedrick,Charles W",HIS- 62A,Classic Worl: Greec,6,12,23,13,30,13,9,17,9,13,14,0,1
"Helmbold,David Paul",CMPS- 142,Machine Learning,3,3,3,1,3,0,0,0,0,0,0,0,1
"Hester,Karlton E",MUSC- 11B,Intro to Jazz,27,21,8,11,20,15,9,19,6,17,35,12,0
"Hinck,Lindsay",BIOL- 110,Cell Biology,6,21,13,20,46,23,22,45,10,8,0,0,5
,BIOL- 189W,Human Biology DC,2,0,4,5,2,0,0,0,0,0,0,0,0
"Hirsch,Daniel O",CLTE- 91,Introduction Nuclear Policy,2,8,14,1,4,1,3,4,1,2,2,0,0
"Hitchcock,Miriam C",ART- 104,Spec Topcs Painting,0,5,9,4,3,0,1,1,0,0,1,0,0
,ART- 105,Spec Topics Drawing,0,6,6,2,4,1,2,1,0,0,1,0,0
"Hoffman,David A",PSYC- 118B,Extm Circumstances,2,43,10,3,5,0,0,0,0,0,0,0,0
,PSYC- 170,Abnormal Psychology,8,84,5,6,9,2,2,4,0,0,1,0,0
"Hollander,Eli E",FILM- 170B,Film/Video Productn,1,6,5,7,3,1,1,0,0,0,0,0,0
"Hong,Christine",LTEL- 190L,English Lang Lit,6,5,2,3,2,3,0,0,0,1,0,0,0
"Honnef,Theo",COWL- 80A,UD: Imagining Justice,0,7,13,14,8,4,0,0,0,0,0,0,0
"Hu,Minghui",HIS- 40A,Early Mod East Asia,0,6,8,17,19,18,16,1,4,3,8,0,2
,HIS- 140B,His China 1644-1911,1,1,9,19,8,6,3,0,0,4,2,0,0
"Hunter,Donna M",HAVC- 135B,Germn Art 1905-1945,0,7,8,14,6,9,7,4,1,0,3,0,3
,HAVC- 190P,Patriotism Fren Rev,0,2,3,0,2,1,1,1,0,1,0,0,0
"Hutchison,Greta K A",FREN- 2,Instr French Lang,0,5,3,5,4,0,1,1,1,1,2,2,1
,FREN- 125B,Fr Civ: 20Th Century,1,2,2,1,2,1,1,1,0,2,1,0,0
"Hutchison,Michael M",ECON- 2,Intro Macroeconomic,11,21,16,31,50,11,26,43,10,17,12,6,4
"Isaacson,Michael Saul",EE- 198,Individual Study,0,10,5,2,2,0,0,0,0,0,1,0,0
"Jablonski,Noria",PRTR- 80A,UD: Writing/Arts,0,1,5,9,13,5,1,2,1,0,0,0,0
"Jaffe,Roberta M",ENVS- 177,TeachEnvironEduc,0,14,10,2,0,0,0,0,0,0,0,0,0
"Jannarone,Kimberly M",THEA- 61C,Birth of the Modern,3,13,26,9,14,5,4,13,6,7,4,2,0
"Johnson,Robert Preston",PHYS- 139B,Quantum Mechanics,5,4,1,1,6,0,1,3,0,0,2,0,0
"Jones,Catherine A",HIS- 110D,Civil War Era,0,5,19,22,25,14,7,5,1,0,0,0,0
"Juarez,Chelsey Ann",ANTH- 1,Intr Humn Evolution,6,28,8,28,44,13,18,33,14,11,6,1,3
,ANTH- 102A,Human Skeletal Biol,0,3,0,3,5,2,6,4,2,4,0,2,2
"Kalinic,Ariana",SOCY- 167,Devel & Underdevelp,4,6,9,6,3,6,4,0,0,0,2,0,0
"Katznelson,Jonathan Rice",AMS- 5,Statistics,6,13,12,12,61,20,11,99,15,13,11,6,3
,AMS- 11B,Math Methds Econ II,0,10,4,3,23,10,5,32,6,6,6,2,2
,ECON- 11B,Math Methds Econ II,0,1,0,0,2,0,0,5,2,0,0,0,0
,MATH- 21,Linear Algebra,14,14,4,9,23,8,4,32,8,7,0,2,4
"Keenan,David L",CHIN- 1,Chinese: Mandarin,0,23,6,6,7,1,2,2,0,0,8,0,0
"Kehler,Edward Harold",HIS- 172B,German Film 1919-45,0,5,9,12,9,6,1,2,1,3,1,0,2
,STEV- 80A,UD:Self & Society,0,0,7,11,4,1,0,0,0,0,0,0,0
"Kenez,Peter",HIS- 175A,Medieval Russia,4,8,2,3,10,6,2,8,4,4,0,0,1
"Kenney,Martha Jean",HISC- 105,Fem Study:Narr&Refig,1,4,7,3,4,3,0,2,0,0,0,0,1
"Kent,Patrick Martin",EDUC- 50C,CAL Teach1: Science,5,2,4,2,2,1,0,1,0,0,0,0,1
"Kidd,Brian A",BIOL- 181,Comp Bio Tools,0,4,3,4,5,3,4,6,0,0,0,0,0
,BME- 110,Comp Bio Tools,2,3,3,0,0,6,3,0,0,1,0,0,0
"Kim,Hi Kyung",MUSC- 121,Orchestration,0,5,5,4,3,0,0,0,0,0,0,0,0
"Kim,Lahn S",FILM- 165D,Asian Americans,0,6,7,18,12,10,5,5,0,0,3,1,1
"Kimball,Julie Hall",PHYE- 30L,Yoga Exercises,0,0,0,0,0,0,0,0,0,0,115,26,2
"Kimper,Wendell",LING- 102,Phonology II,2,8,8,7,7,4,3,0,1,1,19,1,1
,LING- 154,Lang/Social Identity,2,3,7,7,5,5,2,1,0,1,4,0,0
"King,Christine L.",CLTE- 95,Nonviolent Comm,0,2,0,0,1,0,0,0,0,0,15,0,0
"King,Robin Y",OAKS- 80A,UD:CommunicatingDiversity,0,4,3,3,3,3,2,1,1,0,0,0,0
,WRIT- 169,Tutoring Writing,0,5,19,7,0,0,0,0,0,0,6,0,0
"Kingon,Russell L",PHYE- 9B,BegDinghySailing,0,0,0,0,0,0,0,0,0,0,16,2,0
"Kingsbury,Donald Vernon",CLNI- 80A,UD:Intl/Global Issues,0,0,4,4,9,3,0,3,0,0,0,0,0
"Kinoshita,Sharon A",LTWL- 124,Hist Culture Theory,0,12,14,9,15,13,11,6,3,3,7,0,1
"Klahn,Norma",LTSP- 102A,Conquest--Sor Juana,0,4,5,6,3,3,1,1,0,1,2,2,1
,LTWL- 190A,Topics in World Lit,0,13,5,3,2,0,0,0,0,0,0,0,0
"Klevan,Robert",MUSC- 9,Wind Ensemble,0,48,0,2,1,0,0,0,0,0,4,0,0
"Knisely,Lindsay Elizabeth",OAKS- 80B,RI:CommunicatingDiversity,0,7,8,8,4,1,0,0,0,0,0,0,0
"Knittle,Elise",EART- 5,California Geology,0,47,13,2,83,4,5,27,2,2,6,2,1
"Kotowski,Jan Michael",POLI- 3,Concepts/Politics,0,4,12,27,34,27,18,10,5,4,7,0,1
"Kraft,Reiner",CMPS- 183,Hypermedia/Web,3,12,2,4,20,9,6,7,0,1,0,0,1
"Kumar,Mythili R",THEA- 80Z,Indian Dance,1,21,16,2,0,0,0,0,0,0,3,0,0
"Kumaran,Laxmi",THEA- 12,Stage Management,11,9,1,7,1,1,0,1,1,1,1,0,0
"Landau,Greg",LALS- 80Q,Musica Latina,8,54,16,4,3,0,0,0,0,0,3,0,0
"Langhout,Regina Day",PSYC- 194C,Adv Social Research,0,14,2,0,0,0,0,0,0,0,1,0,0
"Langridge,Ruth",LGST- 132,Ca Water Law/Policy,1,8,3,1,7,7,1,0,0,0,0,0,0
,POLI- 132,Ca Water Law/Policy,2,4,3,2,5,2,0,0,1,0,1,0,0
"Langridge,Suzanne May",ENVS- 131,Insect Ecology,0,8,2,2,9,7,0,4,1,1,1,0,0
"Larrabee,Tracy",CMPE- 80N,Intro to Networking,0,73,24,28,12,5,0,4,3,1,4,0,0
"Lasar,Matthew",HIS- 110E,U.S. From 1877-1914,0,11,11,13,4,5,1,4,2,4,1,0,0
,HIS- 190U,Power/Culture in US,0,3,3,8,4,1,1,0,0,0,0,0,0
"Lau,David M",CLNI- 80A,UD:Intl/Global Issues,2,8,12,1,0,0,0,0,0,0,0,0,0
,CLNI- 80B,RI:Intl/Global Issues,6,29,9,1,0,0,0,0,0,0,0,0,0
,CLNI- 80L,College Nine Core Film,6,15,0,0,0,0,0,0,0,0,0,0,0
"Lau,Kimberly J",AMST- 102,Reading Culture,1,2,4,7,5,5,1,2,1,1,0,0,0
"Lay,Thorne",EART- 2,Earth Catastrophes,3,15,9,19,29,24,26,36,10,9,13,1,0
"Leanos,John Jota",FILM- 171G,Doc Amni Wkshp,0,11,2,0,0,0,0,0,1,0,0,0,0
"Leaper,Campbell",PSYC- 100,Research Methods,5,13,15,17,71,13,9,20,0,13,2,0,1
"Lee,Jeremy C",BIOL- 100K,Biochemistry Lab,1,16,32,33,77,40,20,59,6,4,0,0,2
,BIOL- 105L,Eukaryotc Genet Lab,0,4,3,2,3,1,0,2,0,0,0,0,0
"Leicester,H M",LTEL- 103E,Studies: Romanticsm,0,16,10,3,1,0,0,0,0,0,0,0,0
,LTEL- 190L,English Lang Lit,7,16,0,0,0,0,0,0,0,0,1,0,0
"Leikin,Anatole",MUSC- 11A,Classical/MidAges/Pres,69,63,13,13,24,9,12,29,16,7,57,5,3
"Leslie,Juliana I",LTCR- 10,Intro Creative Writ,0,10,8,1,1,0,0,0,0,1,0,0,0
"Levinson,Robert A",CMPS- 130,Computational Model,3,3,3,7,8,6,4,10,1,1,0,0,0
"Lewis,Debra K",MATH- 128A,Classical Geometry,1,7,3,10,5,1,3,3,5,0,0,0,0
"Li,Yat",CHEM- 163A,Quantum Mech & Spec,4,19,5,8,31,14,36,23,9,1,0,0,0
"Lieberman,Fredric",MUSC- 80W,Music Business,37,266,1,0,11,0,0,6,5,2,18,0,1
"Linington,Roger G",CHEM- 108A,Organic Chemistry,5,20,7,33,123,33,0,67,23,18,0,0,2
"Locks,Norman",ART- 134,Spec Topics Photo,1,12,3,6,7,0,0,0,0,0,0,0,0
"Loeffler,Toby H",CLNI- 80A,UD:Intl/Global Issues,0,0,3,3,7,4,2,1,0,0,0,0,0
"Loik,Michael E",ENVS- 80B,Forecast Globl Warm,8,22,14,16,35,13,13,36,9,9,14,1,6
"Lokey,Robert Scott",CHEM- 146A,Adv Lab Organic,0,9,3,0,2,1,1,0,0,0,0,0,0
"Lonetree,Amy J",AMST- 123M,Am Ind Hist On Film,0,6,7,4,6,3,0,1,0,0,2,0,0
,AMST- 190,Senior Seminars,1,5,6,3,0,3,1,0,0,0,0,0,0
"Longo,Philip M",OAKS- 80A,UD:CommunicatingDiversity,0,0,4,5,6,3,2,3,0,0,0,0,0
"Lopez,Leslie Thomson",OAKS- 80A,UD:CommunicatingDiversity,0,7,4,2,3,2,2,4,0,0,0,0,0
"Lowell,Karen L",CRWN- 80A,UD:Ethical Issues,0,5,11,3,3,2,10,5,0,0,0,0,0
"Lozano,Benjamin James",HISC- 139A,MrktCrises/FutureCapit,5,4,4,2,6,2,3,3,0,3,5,1,0
,LGST- 157,Political Jurisprudence,1,4,12,2,11,7,2,7,2,2,0,1,0
"Lubeck,Paul M",SOCY- 15,World Society,2,15,17,20,28,14,18,24,6,3,6,0,4
,SOCY- 30A,IntrGlobal InfoEnterp,3,6,7,3,7,3,0,0,1,2,0,0,1
,SOCY- 188G,Glbl Islam Politics,0,6,7,4,3,4,2,5,0,2,2,0,1
,SOCY- 194F,Group Tutorial,0,5,2,0,3,0,0,2,0,0,0,0,0
"Lusztig,Irene E.",FILM- 20P,Productn Technique,0,7,21,18,13,15,1,2,0,2,0,0,2
"Ly,Boreth J.",HAVC- 123B,ReligVisCultureSoAsia,0,7,8,16,21,7,3,1,0,1,3,0,2
"Lynn,Jennifer K",GREE- 1,Elem Ancient Greek,2,5,0,2,3,3,0,0,0,1,0,0,0
,LATN- 1,Elementary Latin,6,13,3,3,2,2,0,0,0,0,1,0,0
"Lyon,Bruce E",BIOE- 112,Ornithology,2,5,3,5,2,1,3,3,0,0,0,0,0
,BIOE- 112L,Ornithology Field,9,5,3,1,3,1,2,0,0,0,0,0,0
"Mackey,Wesley F",CMPS- 12B,Intro Data Structur,15,10,11,20,15,12,2,15,6,8,0,1,13
,CMPS- 104A,Fund Compiler Des 1,11,6,8,7,12,3,5,5,3,2,0,0,0
"Manduchi,Roberto",CMPE- 80A,Universal Access,0,30,49,39,28,11,0,21,2,2,10,1,0
"Manke,Arthur E.",THEA- 80X,Performance/Story,1,3,5,10,18,23,2,23,4,9,4,2,0
,THEA- 151,Stdy Perform Drama,2,10,1,0,0,0,0,0,0,0,0,0,0
"Mantey,Patrick E",CMPE- 194F,Group Tutorial,0,17,6,7,0,0,0,0,0,0,0,0,0
"Marinovic,Baldo Branimir",BIOE- 20C,Ecology & Evolution,21,19,25,33,53,19,75,86,18,19,6,1,7
"Marion,Justin",ECON- 100A,Intermed Microecon,3,23,9,11,23,9,15,21,0,11,1,0,0
,ECON- 150,Public Finance,3,5,2,3,4,1,3,4,0,3,2,0,0
"Martin,Laura Elizabeth",CLTE- 80B,RI: Social Justice,0,6,8,11,6,9,4,3,0,0,0,0,0
,CLTE- 80L,College Ten Core Film,0,11,11,1,1,1,0,1,0,0,0,0,0
"Martinez-Echazabal,Lourde",LTSP- 135F,Cine y Literatura,1,2,2,7,0,0,0,0,1,1,2,1,1
"Martinez-Galarce,Marco Antonio",PRTR- 80A,UD: Writing/Arts,7,11,12,5,5,5,3,1,0,0,0,0,0
"Martinez-Guerrero,Olga",SPAN- 1,Instr Spanish Lang,0,8,8,5,0,0,1,1,0,0,0,0,1
"Martyna,Wendy",SOCY- 111,Family & Society,0,76,28,11,10,1,1,1,0,0,1,0,0
"Mathews,Andrew S.",ANTH- 130J,Statemaking Lat Am,2,5,8,12,3,3,3,1,0,4,0,0,1
"Mc Kercher,Patrick M",CLEI- 80A,UD:Environ/Society,0,0,6,6,8,16,3,0,1,0,0,0,0
"McCarthy,Matthew D",OCEA- 80B,Our Changing Planet,6,10,8,17,18,16,11,5,4,3,4,0,1
"McCloskey,James",LING- 112,Syntax I,0,2,1,2,2,1,0,1,0,1,26,3,2
"McDowell,Charles E",CMPS- 5J,Intro to Prog Java,4,21,23,21,50,16,10,29,17,5,5,1,4
"McMillen,Jennifer",MERR- 80A,UD: Cultural IDs,0,2,1,2,3,0,3,2,0,1,0,0,0
"McWilliams,Mallory",ECON- 10A,Econ of Accounting,5,17,14,7,16,8,8,16,13,13,2,2,5
"Mendes,Bruno Silva",AMS- 2,Pre-Statistics,0,3,4,13,8,10,0,7,14,7,2,2,0
"Merz,Joseph E",BIOE- 155,Freshwater Ecology,4,10,4,9,11,6,1,3,0,0,0,0,0
"Metcalf,Jacob Patrick",BME- 80G,Bioethics 21st Cent,6,12,12,32,47,46,7,16,8,6,12,0,3
"Meyer,James J",PHYE- 30J,Strength Training,0,0,0,0,0,0,0,0,0,0,13,2,0
"Migliore,Edward T",MATH- 19B,"Calc:Sci,Engin,Math",3,27,1,4,63,0,15,52,18,49,1,2,8
"Millhauser,Glenn L",CHEM- 1A,General Chemistry,9,34,31,15,145,16,12,107,0,78,2,1,5
"Millman,Marcia",SOCY- 141,Group Processes,5,6,10,4,2,1,2,0,0,0,0,0,0
"Milutinovic,Dejan",AMS- 11A,Math Methd for Econ,4,5,4,12,9,13,13,21,17,13,3,1,5
"Mitchell,Richard R",MATH- 20A,Honors Calculus,1,2,1,1,7,2,3,4,5,0,0,0,1
,MATH- 23A,Multivariable Calc,1,5,4,11,21,9,27,33,26,2,2,2,6
"Monroe,James C",ANTH- 178,Historical Archaeol,0,1,5,6,7,4,6,2,4,7,1,0,1
"Monsen,Katie Lenore",EE- 80S,Sustn Eng/Pract,8,15,14,6,14,4,7,11,8,7,13,2,0
"Moody,Ingrid B",PRTR- 80A,UD: Writing/Arts,0,3,4,5,11,6,1,3,1,0,0,0,1
"Moore,James Casey",EART- 150,Structural Geology,3,3,1,5,4,3,4,3,0,0,0,0,0
"Mori,Cynthia Ann",PHYE- 30J,Strength Training,0,0,0,0,0,0,0,0,0,0,18,1,1
"Morse,Heidi Elizabeth",LATN- 1,Elementary Latin,0,4,3,1,3,1,1,4,1,1,1,0,0
"Morse,Margaret E",FILM- 136D,Documentry Film&Vid,5,23,9,3,7,5,0,1,0,1,4,0,0
"Moschetti,Thomas",ECON- 117A,Income Tax Factors,1,41,10,8,28,1,5,12,0,1,1,0,1
"Moulds,Gerald Bennett",CMPE- 3,Personal Computers,0,217,0,32,62,0,7,25,1,5,6,1,3
,CMPE- 185,Tech Writ Comp Engs,0,11,16,11,4,1,1,2,0,1,0,0,0
"Munday,David Alexander",CMPE- 194F,Group Tutorial,0,17,6,7,0,0,0,0,0,0,0,0,0
"Murai,Emily Hsiu-Yun",CLNI- 80A,UD:Intl/Global Issues,0,14,25,9,3,4,2,2,0,0,0,0,0
"Murray,Derek C.",HAVC- 45,Photography Now,0,13,16,33,48,28,22,17,2,6,9,0,3
"Musacchio,John T",ECON- 166A,Game Theory /Apps I,0,13,7,7,7,3,3,3,4,1,0,0,2
"Najera Ramirez,Olga",ANTH- 81A,Mexican Folk Dance,22,5,7,4,2,3,0,0,0,0,3,2,1
,LALS- 81A,Mexican Folk Dance,4,1,5,3,0,2,0,0,0,0,3,1,0
"Nauert,Paul",MUSC- 30A,"Theor, Lit, Music",3,7,2,7,12,2,1,3,0,0,0,0,0
"Nava,Steve",SOCY- 177A,Latinos/AmerGlobCty,1,5,13,5,5,1,0,0,0,0,2,1,0
"Navarro,Marta A",SPAN- 1,Instr Spanish Lang,0,22,1,3,1,0,0,1,0,0,1,0,0
,SPAN- 2,Instr Spanish Lang,1,23,3,9,0,0,0,1,0,0,3,0,2
"Nealand,Eireene",LTCR- 10,Intro Creative Writ,0,5,4,4,0,1,0,0,0,0,6,0,0
"Neu,Jerome",PHIL- 139,Freud,1,8,6,6,7,9,14,22,5,8,6,1,1
,PSYC- 163,Freud,0,4,3,8,8,5,8,20,12,11,7,1,2
"Newberry,Ellen Spencer",MERR- 80A,UD: Cultural IDs,0,4,6,9,7,5,1,1,0,0,0,0,2
"Newman,John Terrance",CLEI- 80A,UD:Environ/Society,0,0,2,10,10,0,0,0,0,1,0,0,0
,CLEI- 80B,RI:EnvironmntSociety,0,2,2,17,5,0,0,0,0,0,1,0,0
"Nichols,Shawn Leslie",POLI- 70,Global Politics,2,7,3,4,9,5,3,9,3,1,7,0,0
"Nickel,Barry",ENVS- 115A,GIS & Envnmtl Applc,2,3,6,7,12,9,2,8,2,0,6,1,1
"Nielsen,Jason A",PHYS- 6C,Intro Phys III,2,37,6,5,57,5,4,78,10,3,7,0,4
"Noller,Harry F",BIOC- 100A,Biochemistry,0,6,0,10,14,9,0,20,44,12,0,0,4
"Norris,Lisa K",PHYE- 20A,Ballet,0,0,0,0,0,0,0,0,0,0,63,8,0
,PHYE- 20C,Jazz Dance,0,0,0,0,0,0,0,0,0,0,50,4,0
"Nygaard,Loisa C",LTGE- 154,The German Novelle,0,4,3,1,2,1,0,0,0,0,0,0,1
"O'Hara,Matthew D",HIS- 134A,Colonial Mexico,0,11,11,8,10,7,5,5,0,1,1,0,0
,HIS- 190H,History of Time,0,3,6,0,2,2,0,1,1,0,0,0,0
"Ochoa,Marcia",AMST- 150,Mediating Desire,0,6,7,2,6,0,0,0,1,0,0,0,0
,FMST- 150,Mediating Desire,1,15,6,4,9,2,0,0,0,1,1,1,1
"Ogren,Linda M",BIOL- 20L,Experimental Lab,0,1,0,0,6,1,2,3,0,0,0,0,0
,BIOL- 130,Human Physiology,0,9,2,4,21,4,9,18,25,8,0,0,2
,BIOL- 130L,Human Physiolgy Lab,0,7,6,0,5,4,6,22,6,0,0,0,1
"Okamoto,Shigeko",JAPN- 103,Advanced Japanese,4,3,4,2,1,0,1,0,0,0,1,0,0
,LAAD- 109,Jpn Lang/Cul/Soc,0,1,5,1,2,2,1,0,0,1,0,0,0
"Ottemann,Karen M",BIOL- 119L,Gen Microbio Lab,1,9,9,0,11,1,1,0,0,0,0,0,0
"Ozgen,Mesut",MUSC- 6,ClassicalGuitarEns,4,7,0,1,0,0,0,0,0,0,0,0,0
"Padgett,Jaye",LING- 151,Phonetic Analysis,1,9,4,3,2,1,0,1,3,0,1,1,0
"Paiement,Nicole A",MUSC- 2,Univ Orchestra,5,23,0,0,1,0,0,0,0,0,0,0,0
