University of California Santa Cruz,,,,,,,,,,,,,,,
"Palleros,Daniel",CHEM- 108L,Organic Chem Lab,21,53,49,42,68,21,10,16,1,5,0,0,2
,CHEM- 112L,Organic Chem Lab,7,17,23,9,13,6,1,3,0,0,0,0,0
"Pandey,Annapurna Devi",ANTH- 124,Anthro of Religion,0,9,19,12,7,3,2,2,0,3,3,0,4
,MERR- 80A,UD: Cultural IDs,0,6,4,10,3,0,0,0,0,0,0,0,0
,MERR- 80B,RI:Cultural IDs&Glob,0,6,2,9,5,1,0,0,0,0,0,0,0
"Pandey,Triloki N",ANTH- 130N,Native Peoples N Am,2,18,27,7,4,4,1,0,0,0,3,0,2
"Pang,Alex",CMPS- 12A,Intro Program (Accel),6,23,31,27,12,8,13,9,0,7,0,0,1
"Parker,Ingrid Marie",BIOE- 145,Plant Ecology,0,8,7,5,8,3,5,5,2,0,2,1,0
,BIOE- 145L,Plant Ecology Field,0,6,4,3,4,4,2,0,0,0,0,0,0
"Parker,Jennifer A",ART- 140,Metal Fabrication,1,10,0,4,3,0,0,0,0,0,0,0,0
,ART- 148,SpecialTopicsSculpture,2,6,0,6,4,0,0,0,0,0,0,0,1
"Parmeter,Sarah-Hope",WRIT- 2,Rhetoric & Inquiry,0,5,5,16,7,3,3,3,1,0,3,1,1
"Pasotti,Eleonora",POLI- 149,DemocraticTransitns,0,2,6,9,9,6,2,6,0,2,3,0,2
"Perera,Nirshan Rex-Boniface",WRIT- 2,Rhetoric & Inquiry,0,9,2,6,0,3,2,3,0,0,0,0,0
"Perez,Ariel A",SPAN- 4,Intermed Spanish,1,5,6,7,12,7,4,2,1,0,2,0,0
,SPSS- 61,Spanish Speakers,1,3,9,5,2,4,0,1,0,1,0,0,0
"Perks,Micah E",LTCR- 170,Methods & Materials,0,8,7,8,1,0,0,0,0,0,0,0,0
"Perla,Hector",LALS- 1,Intro Latin Amer St,7,35,51,50,36,14,12,11,4,2,16,3,1
,LALS- 149,U.S.-Latin AmPolicy,0,8,4,2,3,1,2,10,0,2,1,0,0
"Perry,Kathleen Chris",ART- 23,Intermedia I,0,2,4,3,9,2,1,0,0,0,0,0,0
,ART- 40,Sculpture I,0,2,8,3,4,2,0,0,0,0,1,0,0
"Petersen,Stephen C",CMPE- 121,Micro System Design,1,1,7,4,12,5,10,5,1,0,0,1,1
,CMPE- 174,Intro to EDA Tools,2,22,6,1,3,0,0,0,0,1,0,0,1
"Pittermann,Jarmila",BIOE- 20B,Developmt & Physiol,14,35,36,16,28,26,13,7,4,1,0,0,0
"Pizzuti,Grace B",OAKS- 80A,UD:CommunicatingDiversity,1,13,9,3,2,0,0,1,1,0,0,0,0
"Poblete,Juan E",KRSG- 99F,Independent Study,3,31,5,1,4,0,0,0,0,0,86,3,2
"Pogson,Grant",BIOE- 109,Evolution,11,19,11,23,40,22,18,16,5,1,0,0,2
"Polecritti,Cynthia L",HIS- 183A,19th-C. Italy,0,15,2,4,2,2,0,0,0,0,1,0,0
"Polyzotis,Neoklis",CMPS- 182,Intro Database Mgmt,0,1,3,8,5,7,3,3,0,0,0,0,1
"Pommerenke,Kay",ECON- 138,Tecnology & Innovat,0,7,19,21,8,8,1,1,2,1,0,0,1
"Poole,Jennifer",ECON- 140,International Trade,2,1,5,2,2,2,3,4,1,0,0,0,0
,ECON- 143,InternatnlEconPolicy,1,2,2,1,0,0,1,2,0,1,0,0,0
"Poplin,Stan E",MUSC- 164,Jazz Ensembles,2,9,1,0,0,0,0,0,0,0,0,0,0
"Porter,Eric C",AMST- 199F,Tutorial,2,11,0,5,0,0,0,0,0,0,1,0,0
"Poulsen,Melissa Paloma Eriko",WRIT- 2,Rhetoric & Inquiry,0,3,3,4,4,1,0,4,1,0,4,0,0
"Pourmand,Nader",BME- 140,Bioinstrumentation,4,17,1,0,1,0,1,0,0,0,0,0,0
"Poynor,Valerie Ann",AMS- 7L,StatMthdsBioEnvHlthLab,0,32,0,0,2,0,0,1,0,0,1,0,0
"Prado,Raquel",AMS- 131,Intro Prob Theory,5,2,4,15,1,3,4,3,1,0,0,0,3
"Pratkanis,Anthony R",PSYC- 40,Intro Social Psych,11,8,11,13,21,8,3,9,8,7,2,0,1
,PSYC- 150,Soc Psyc Flim-Flam,2,19,3,13,14,7,1,3,0,0,1,0,1
"Prencipe,Maria A.",ITAL- 1,Instr Italian Lang,0,3,7,3,3,0,4,1,0,1,1,1,0
,ITAL- 4,Intermed Italian,0,5,8,7,1,4,4,1,0,0,4,0,0
"Primack,Joel R",PHYS- 5D,"Heat,Thermo&Kinetic",14,35,9,10,27,9,2,9,1,2,0,0,0
,PHYS- 5I,IntroPhysHonors I,2,6,2,2,3,0,0,0,0,0,0,0,1
"Pudup,Mary Beth",CMMU- 100E,Economic Justice,2,4,6,3,2,0,0,0,0,0,2,1,0
"Qing,Jie",MATH- 105A,Real Analysis,2,8,3,6,5,1,2,7,4,0,6,0,1
,MATH- 106,Ordinary Diff Equas,3,4,0,2,2,0,0,0,0,0,1,0,0
"Quinn,Ralph H",PSYC- 80A,Psych and Religion,15,117,127,51,42,12,6,9,1,7,13,0,2
"Raimondi,Peter T",BIOE- 161,Kelp Forest Ecology,2,4,4,11,7,1,0,0,0,0,0,0,0
,BIOE- 161L,Kelp Forest Eco Lab,2,4,4,11,7,1,0,0,0,0,0,0,0
"Rajan,S Ravi",CLEI- 81A,Environment and Us,211,63,47,28,19,9,7,3,1,3,2,0,0
,CLEI- 90,Garden Internship,2,8,3,1,0,0,0,0,0,0,1,0,0
"Ramirez,Catherine S",AMST- 112,Immigration & Assim,1,6,16,12,14,12,12,3,6,0,10,2,3
"Ramirez,Renya K",ANTH- 131,Women Xcultrl Persp,3,17,15,6,2,3,0,0,0,0,0,0,0
"Rangell,Paul",ART- 80A,Intro to Drawing,5,42,13,7,11,4,1,6,1,6,6,0,2
,ART- 114,Lithography I,0,14,5,1,4,0,0,0,0,0,0,0,1
"Rava,Annalisa",CRWN- 80A,UD:Ethical Issues,0,5,4,2,2,6,2,3,4,0,3,2,1
"Ravelo,Ana Christina",EART- 102,Marine Geology,1,5,10,9,7,4,3,4,0,2,0,0,0
"Reardon,Jennifer E",SOCY- 121,Health & Medicine,0,12,16,6,8,6,1,1,1,0,0,0,0
"Regan,Lisa K",HAVC- 133A,Medieval Art,0,7,6,7,4,2,1,1,0,1,2,0,1
"Reinarman,Craig",SOCY- 1,Intro Sociology,1,14,50,44,76,31,17,12,6,2,20,0,1
"Ritz,Steven",PHYS- 101A,Intro Modern Phys I,2,10,10,19,15,20,6,17,1,4,1,0,0
"Rivard,Courtney Jeanne",CLNI- 80A,UD:Intl/Global Issues,0,0,5,6,6,4,0,0,0,0,0,0,0
"Rivas,Cecilia M.",LALS- 80J,"Race, Nation, War",5,10,18,19,12,7,2,0,1,1,7,0,0
,LALS- 194R,Violencia en Amer,0,3,4,8,4,1,0,1,0,0,0,0,1
"Robertson,Dena",CLTE- 80A,UD:Social Justice,1,5,8,4,2,2,1,0,0,0,2,0,0
,COWL- 80B,RI:Imagining Justice,1,8,7,3,0,2,0,0,0,0,0,0,0
"Robinson,Forrest G",LIT- 80I,Amer Popular Cultur,0,4,23,55,42,11,3,11,1,3,2,0,1
"Robinson,Jonathan M.",ECON- 120,Economic Developmnt,2,5,3,4,4,6,2,1,3,3,6,1,0
"Rodrigues,Laurie",PRTR- 80A,UD: Writing/Arts,0,1,10,12,9,11,4,1,0,0,0,0,0
"Rodriguez,Abel",AMS- 80A,Gambling and Gaming,9,23,42,23,20,27,14,16,4,4,20,4,2
"Rofel,Lisa B",ANTH- 150,Communicating Anth,1,10,15,19,18,7,3,3,0,3,4,0,0
"Rogoff,Barbara",PSYC- 119A,Sociocultural Devmt,11,4,6,7,4,1,0,0,0,0,0,0,0
"Roland,Randa Elaine Pfeifer",CHEM- 1C,General Chemistry,0,87,27,21,52,18,35,21,7,35,1,0,0
,CHEM- 1P,Chem Essentials,0,211,1,4,5,1,1,8,3,2,1,1,0
"Rollins,Sophie Marie",FREN- 1,Instr French Lang,5,4,2,3,0,0,1,5,0,4,3,0,0
"Romero,Alvaro",SPAN- 4,Intermed Spanish,0,16,15,8,6,3,1,1,0,0,0,0,1
,SPAN- 114,Adv Convers & Compo,0,7,6,2,1,1,0,0,0,0,0,0,0
"Rosen,Jacob",EE- 154,Feedback Cntrl Syst,3,10,2,4,4,1,2,0,0,1,0,0,1
"Rosenblum,Bruce",PHYS- 8,Quantum Enigma,14,24,0,1,28,0,0,6,1,0,7,0,3
"Rossman-Benjamin,Tammi H",HEBR- 1,Instr Hebrew Lang,6,8,3,1,5,0,1,1,2,1,1,1,0
"Roth,Paul Andrew",PHIL- 121,Knowledge&Rationlty,0,1,4,4,7,5,0,10,3,2,1,0,1
"Rothwell,Wendy Faye",BME- 5,Intro to Biotech,1,19,4,9,38,8,28,9,0,5,2,0,1
,BME- 80G,Bioethics 21st Cent,6,12,12,32,47,46,7,16,8,6,12,0,3
,BME- 80H,The Human Genome,1,40,8,8,56,8,42,12,0,3,10,1,0
"Rotkin,Michael Eric",CMMU- 10,Intr To Cmmu Actvsm,0,33,8,5,1,0,0,4,0,1,3,0,0
,CMMU- 198,Indep Field Study,1,127,51,26,10,4,2,3,0,3,0,0,0
"Ruben,Jesse Daniel",LGST- 10,Intro Legal Process,0,13,0,0,57,0,0,35,6,2,0,0,0
"Ryan,Beth",CLTE- 80A,UD:Social Justice,0,10,10,7,12,10,0,0,0,0,0,0,0
"Sahota,Guriqbal Singh",LTWL- 133,Culture And Nation,0,3,7,3,1,4,3,1,0,2,3,0,0
"Samokhina,Natalya",RUSS- 1,Instr Russian Lang,0,3,13,3,2,1,2,0,0,0,2,0,1
,RUSS- 4,Intermed Russian,0,7,4,1,5,2,0,0,0,0,5,0,0
"Samuels,Jessica Alida",STEV- 33,Ethical Dilemmas,1,6,5,2,0,0,0,0,0,0,3,0,0
,STEV- 80A,UD:Self & Society,1,3,10,10,11,3,1,1,0,0,0,0,0
"Sanchez,Edgar Alberto",PRTR- 22A,Day Of The Dead,5,17,0,2,0,0,1,0,0,0,3,0,0
"Sanders-Self,Melissa Lynn",LTCR- 52,Inter Fiction Writing,0,15,6,1,0,0,0,0,0,0,0,0,0
"Sanders-Self,Nigel",KRSG- 65D,Pwr & Rep: Perf,3,8,0,0,0,0,0,0,0,0,0,0,0
"Sanford,Sarah",ART- 117,Spec Topic Printmak,0,3,5,7,7,2,0,0,0,0,0,0,0
"Saposnek,Donald T",PSYC- 171,Child Psychopathol,1,16,25,15,28,10,4,14,0,1,4,0,0
"Schaefer,Neil",CLEI- 80A,UD:Environ/Society,2,3,7,12,10,8,1,0,0,0,0,0,0
"Schaeffer-Grabiel,Felici",FMST- 124,Technol/Americas,0,7,6,1,2,1,1,2,1,1,0,0,0
,FMST- 145,Race/Gender Formatn,2,16,22,10,13,3,3,1,0,1,11,2,1
"Scheible,Jeffrey P.",FILM- 194A,Film Theory Seminar,0,3,6,0,4,1,0,1,0,1,0,0,0
,PRTR- 80A,UD: Writing/Arts,1,2,2,2,8,5,3,1,0,0,0,0,0
"Schlag,Martine",CMPE- 16,Appl Discrete Math,6,21,9,5,20,9,10,36,22,8,0,0,7
"Schleich,Thomas W",CHEM- 1A,General Chemistry,71,42,39,41,26,28,27,20,20,47,1,1,9
"Schmidt,Holger",EE- 145,Props Of Materials,2,2,3,3,7,5,9,14,5,9,0,0,0
"Schoenman,Roger",POLI- 17,US & World Economy,1,25,14,20,32,14,6,16,1,2,10,0,5
,POLI- 160D,Intl Political Econ,0,20,16,10,17,4,2,12,0,2,2,0,2
"Schultz,Dawson S",COWL- 80A,UD: Imagining Justice,0,3,6,5,5,3,0,0,0,0,0,0,0
"Schwartz,Hilde L",EART- 109,Field Geology,0,1,5,2,13,2,2,1,0,0,0,0,0
"Schwartz,Susan Y.",EART- 104,Geologic Hazards,0,5,4,9,3,1,4,2,0,0,0,0,0
"Scott,William G",CHEM- 1B,General Chemistry,0,67,0,0,73,0,0,79,24,33,1,0,6
"Seara,Ana Maria C",PORT- 1A,Elmentry Portuguese,4,3,2,2,3,2,2,1,1,0,3,1,2
,PORT- 60A,Beg-Intr Portuguese,1,10,2,3,5,4,1,3,0,1,3,0,0
,PORT- 65B,Intermed Portuguese,3,2,2,3,2,1,0,0,0,0,0,0,0
"Segale,Matthew John",CRWN- 80A,UD:Ethical Issues,0,2,5,7,3,1,1,1,0,0,0,0,0
"Selden,Daniel",LTIN- 102,Roman Poetry,0,17,1,0,0,0,0,0,0,0,4,1,0
"Seth,Vanita",POLI- 190P,Race:His of Concept,2,1,1,9,7,0,1,0,0,0,0,0,0
"Seymour,Travis L",PSYC- 1,Intro Psychology,8,27,26,30,59,47,20,43,24,11,1,1,1
,PSYC- 139D,Model Human Perform,0,2,2,1,1,1,0,6,0,1,0,0,2
,PSYC- 194B,Adv Cognitive Res,1,9,1,0,0,0,0,0,0,0,1,0,0
"Shaw,David Michael",KRSG- 65A,Pwr & Rep: Food,1,16,11,3,7,0,0,0,2,0,1,0,0
"Shennan,Carol",ENVS- 166,Agroecosys Analysis,4,8,16,9,5,1,0,0,0,0,2,0,0
"Shepherd,Robert J",ECON- 10A,Econ of Accounting,3,18,21,26,47,16,16,25,3,6,3,1,2
,ECON- 111A,Intermed Account I,14,56,42,20,25,8,7,9,2,5,0,0,0
"Shibata,Yoshihito",PHYE- 43A,Aikido,0,0,0,0,0,0,0,0,0,0,38,6,1
"Silva,Denise Louise",KRSG- 80A,UD:Power&Represnt,0,1,10,14,11,7,2,1,1,0,0,0,0
"Silver,Kiva Rafael",STEV- 80A,UD:Self & Society,0,4,7,3,5,0,1,1,2,0,0,0,0
,STEV- 80B,RI:Self & Society,0,11,10,15,7,1,2,2,3,0,0,0,0
"Silverglate,Janet Ann",PHYE- 30G,Fitness Conditioning,0,0,0,0,0,0,0,0,0,0,22,4,1
"Simonton,Kathleen Ruth",OAKS- 80A,UD:CommunicatingDiversity,1,15,17,9,4,1,0,0,0,1,1,0,1
"Singaram,Bakthan",CHEM- 143,Org Chem Structure,5,10,11,3,2,2,5,8,0,1,0,0,1
"Singh,Nirvikar",HUMN- 70S,Intro to the Sikhs,2,16,8,3,2,1,0,0,0,0,1,0,0
"Sloan,Lisa",EART- 9,Eart Hist/Globl Chg,8,44,28,27,30,17,3,19,1,3,14,1,2
"Smith,David M",PHYS- 5A,Intro Physics I,6,23,15,22,55,24,24,40,11,10,1,0,4
"Smith,Donald Robert",CHEM- 122,Instrumental Analys,1,2,2,2,3,6,1,3,0,0,0,0,0
"Smith,Donnae",STEV- 24,Cultural Intelligence,4,4,4,1,0,0,0,0,0,0,2,0,1
"Smith,Graeme H",ASTR- 70,Honors/AstrophysRes,0,0,7,2,0,0,0,0,0,0,1,0,0
"Smolowitz,Marc Gary",FILM- 171F,AutobiographicalFilm,0,3,7,6,3,0,0,1,0,1,0,0,0
"Snickars,Eric Stephen",LGST- 151,Politics of Law,0,2,2,3,3,3,4,2,2,1,0,0,0
,POLI- 151,Politics of Law,0,4,4,8,5,6,5,1,0,0,0,0,0
"Somers,Robin Elizabeth",CLEI- 80A,UD:Environ/Society,0,8,4,6,11,4,3,1,0,0,2,0,0
"Song,Soonho",PHYE- 43G,Tae Kwon Do(Karate),0,0,0,0,0,0,0,0,0,0,16,6,1
"Spearot,Alan C.",ECON- 113,Intro Econometrics,6,25,3,8,36,5,12,17,10,11,2,0,5
"Stamp,Shelley",FILM- 20A,Intro Film Studies,2,10,45,32,18,12,1,3,2,0,1,0,2
"Steinacker,Adriane",ASTR- 16,Astrobio/Life/Universe,6,4,3,6,2,4,7,0,0,3,2,0,1
,PHYS- 195A,Sr Thesis Research,4,16,9,16,6,4,0,6,0,1,2,0,0
"Steiner,Andrea",CMMU- 100M,Healthcare Inequal,2,7,2,4,2,1,0,0,1,1,0,0,0
"Stephens,Elizabeth",ART- 10H,3D Foundation,0,11,10,24,36,10,9,2,1,3,3,0,0
"Stone,Abraham D",PHIL- 190E,Maj Figures 19C Phil,0,7,5,6,0,0,0,0,0,0,0,0,1
"Stone,Victoria A",BIOL- 119,Microbiology,1,17,24,16,16,38,23,15,10,2,1,0,2
"Suazo,Matthew Eric",OAKS- 80A,UD:CommunicatingDiversity,0,6,5,6,6,0,1,0,0,0,0,0,0
"Sumarna,Undang",MUSC- 5A,Beg W Java Gamelan,0,26,0,0,0,0,0,0,0,0,2,0,0
,MUSC- 5B,Int W Java Gamelan,0,10,0,0,1,0,0,0,0,1,0,0,0
"Sweat,Stephen B",STEV- 80A,UD:Self & Society,5,11,5,6,4,6,0,2,0,1,0,0,0
"Szasz,Andrew",SOCY- 105A,Classical Soc Theor,13,66,44,18,50,8,13,13,0,4,7,0,0
"Tamanoi,Hirotaka",MATH- 124,Intro To Topology,5,4,0,0,2,2,0,0,0,0,0,1,0
"Tantalo,Patrick",CMPS- 10,Intro Computer Sci,14,53,40,41,54,18,26,20,5,9,12,1,1
,CMPS- 101,Abstract Data Types,8,20,8,8,12,10,11,7,4,4,0,0,2
"Tchamni,Avi",MUSC- 80I,Music Modern Israel,0,30,17,7,3,1,2,0,0,0,8,0,1
"Terhaar,Terry L",CLEI- 80A,UD:Environ/Society,0,4,2,7,5,1,0,0,0,0,1,0,0
,CLEI- 80B,RI:EnvironmntSociety,0,4,2,7,6,3,0,1,0,0,0,0,0
"Thomas,Megan C",LGST- 105C,Modern Pol Thought,0,0,2,2,5,2,2,5,1,0,2,0,0
,POLI- 105C,Modern Pol Thought,0,4,7,11,15,9,8,16,3,5,0,0,1
,POLI- 109,Orientalism,0,3,5,6,6,2,3,1,0,2,1,0,0
"Thompson,Bruce A",HIS- 70A,ModEurope1500-1789,3,21,21,27,20,5,3,3,1,0,7,0,1
,HIS- 196E,Modern Irish Histry,3,5,8,2,0,0,0,0,0,0,0,0,0
,LTMO- 144A,Jewish Ethnic/Urban,6,9,11,5,0,0,0,0,0,0,0,0,0
"Thorn,D David",CRWN- 80A,UD:Ethical Issues,0,2,1,2,5,4,3,2,0,0,0,0,0
"Thorpe,Todd Nathan",COWL- 80A,UD: Imagining Justice,0,3,9,5,3,1,0,1,0,0,1,0,0
,COWL- 80B,RI:Imagining Justice,0,9,1,4,6,1,0,1,0,0,0,0,0
"Todd,Judith Ann",WRIT- 2,Rhetoric & Inquiry,1,3,0,3,4,1,0,2,3,0,1,0,2
"Tonay,Veronica K",PSYC- 169,Commun Mental Health,3,11,14,17,46,6,1,6,0,1,4,0,4
,PSYC- 179D,Psych Interpretation,2,14,0,1,5,0,0,0,0,0,2,0,1
"Tucey,Cynthia B.",POLI- 125,PoliticalOrganizatns,0,4,2,9,11,5,7,9,1,0,1,0,0
"Tzankova,Zdravka",ENVS- 100,Ecology and Society,1,11,20,23,89,62,52,63,18,3,5,1,0
"Urban,Michael E",POLI- 140B,Compar Post-Communi,1,6,8,10,17,5,15,14,3,1,5,0,5
,POLI- 190A,State & Revolution,0,2,5,6,3,0,0,1,0,0,0,0,0
"Ursell,Michael Gregory",LTEL- 170C,Shakespeare,1,15,18,11,16,17,6,10,7,4,10,1,1
,LTPR- 134,Idea of Poetry,0,0,6,8,9,2,0,2,0,0,2,0,1
"V.,Natasha",PRTR- 80B,RI:WritingAcrossArts,0,4,0,4,9,2,3,1,0,0,0,0,1
"Varma,Anujan M",CMPE- 150,Intro Comp Networks,0,7,0,8,8,13,3,5,0,1,0,1,0
"Vazquez,Gustavo O",FILM- 176,Expermnt Video Wksp,0,4,1,2,15,0,0,0,0,0,0,0,0
"Vesecky,John F",EE- 101,Intro Elec Circuits,2,5,9,8,22,10,3,8,8,0,0,0,1
"Walsh,Judy",ECON- 197,Economic Rhetoric,1,21,2,1,0,0,0,0,0,0,1,0,0
"Wang,Ren",ECON- 133,Security Markets,10,8,7,15,14,6,5,9,3,0,6,0,0
"Wang,Ziwei",AMS- 7L,StatMthdsBioEnvHlthLab,0,137,0,0,6,0,0,3,0,0,0,0,0
"Warburton,Edward C",THEA- 30,Intr Modern Dance,3,20,6,2,3,4,1,2,0,0,0,0,2
,THEA- 128,Choreographic Wkshp,0,7,1,3,0,0,0,0,0,0,0,0,0
"Wardrip-Fruin,Noah",CMPS- 170,Game Design I,6,33,14,8,3,0,0,0,0,1,0,0,0
"Washburn,Jan Oliver",ENVS- 24,General Ecology,1,43,2,4,84,3,0,61,0,9,7,1,0
"Watkins,Zachary J",MUSC- 80C,Hist Electronic Mus,0,74,117,43,43,23,9,11,6,2,24,0,4
"Watrous,Susan Allen",CLEI- 80A,UD:Environ/Society,1,1,3,8,2,2,1,0,0,0,0,0,0
,KRSG- 199,Tutorial,0,3,0,0,2,0,0,0,0,0,10,1,0
"Weaver,Amy Lyn",STEV- 80A,UD:Self & Society,0,7,5,3,4,1,0,0,0,0,0,0,0
"Weissman,Martin",MATH- 110,Intro Number Theory,1,10,8,5,12,4,7,6,0,4,1,0,0
"Welch,Rhiannon Noel",LTIT- 165,Ital Lit & Culture,0,0,2,3,3,3,3,0,0,0,0,0,0
"Werner,Linda L",CMPS- 115,Software Methodol,2,6,13,7,1,0,0,0,0,0,0,0,0
"Weygandt,Clara Sophia",CLEI- 80A,UD:Environ/Society,4,13,5,4,10,5,2,0,0,0,0,0,0
"White,Aaronette M",PSYC- 1,Intro Psychology,8,27,26,30,59,47,20,43,24,11,1,1,1
,PSYC- 140B,African Amer Psyc,0,5,9,14,9,7,6,4,0,1,0,0,1
,PSYC- 159E,Peace Psychology,5,16,4,2,1,1,2,0,0,0,0,0,1
"Whitley-Putz,Lene A",CLTE- 80A,UD:Social Justice,1,7,9,10,11,8,5,6,0,1,1,0,0
"Willcutts,Timothy Savage",LTCR- 10,Intro Creative Writ,0,4,16,3,0,0,0,0,0,0,1,0,0
"Williams,Donald",STEV- 80H,Rainbow Theater,12,62,0,0,0,0,0,0,0,0,0,0,0
"Williams,Franklin Edward",KRSG- 12A,Service Learning,1,3,9,3,1,1,0,0,0,0,0,0,0
"Williams,Quentin",EART- 110A,Evolution Of Earth,2,4,5,3,12,10,8,22,1,5,1,0,1
"Williams,Terrie M",BIOE- 20B,Developmt & Physiol,14,35,36,16,28,26,13,7,4,1,0,0,0
"Wilson,James A",WRIT- 2,Rhetoric & Inquiry,0,3,4,1,5,3,2,2,1,0,2,1,1
"Wilson,Margaret L",PSYC- 20,Intr Cognitive Psyc,3,39,11,7,39,5,0,23,3,5,0,0,1
"Wilson,Robert J",LTEL- 155B,Regions Amer Lit,8,15,45,26,25,13,8,7,5,4,3,0,2
"Wilson,Ronaldo V.",LTCR- 183,Adv Writing-Poetry,0,11,4,1,1,0,0,0,0,0,0,0,0
,LTMO- 145C,Modern Fiction and Poetry,3,25,27,15,14,9,2,10,2,6,4,0,0
"Winther,Rasmus G",PHIL- 112,American Philosophy,1,2,7,5,7,1,0,0,0,3,0,0,0
"Wirls,Daniel J",LGST- 120A,Congress/Pres&Court,1,6,2,2,5,1,3,2,2,1,0,0,1
,POLI- 120A,Congress/Pres&Court,1,7,9,12,15,10,6,12,4,2,1,0,3
"Wittman,Donald A",ECON- 115,Intr Management Sci,5,10,6,3,7,3,5,3,0,0,0,1,3
"Wohlfeiler,Richard A",ART- 38,DigitalPrintmaking,1,6,7,3,2,0,0,0,0,1,1,0,0
"Wolf-Meyer,Matthew Joseph",ANTH- 134,Intro Medical Anthro,1,8,5,7,8,7,5,5,4,4,4,2,0
"Woolsey,Katie Jennifer",CLTE- 80A,UD:Social Justice,0,29,10,5,3,1,1,1,0,0,0,0,0
"Wu,Ting-Ting",CHIN- 4,Intermed Chinese,2,2,4,4,3,1,2,2,0,0,1,2,1
,CHIN- 103,Readings In Econ,2,2,4,3,3,2,3,1,0,0,1,0,0
"Wu,Yuefeng",AMS- 7,StatMthdsBio/Env/Hlth,9,70,47,60,25,27,0,29,10,0,2,0,0
"Yamamura,Timothy Jitsuo",KRSG- 80B,RI:Power&Representat,0,6,7,6,2,2,0,0,0,0,0,0,0
"Yamashita,Karen T",LTCR- 180,Adv Writing-Fiction,0,12,2,3,0,0,0,0,0,0,0,0,0
"Yee,Dena Marie",EDUC- 164,Urban Education,1,27,16,15,11,6,2,1,0,0,2,0,0
"Yonge,Christopher",CMPS- 25,3D Modeling,73,15,7,5,12,4,5,5,9,7,17,2,8
"Youmans,Gregory Martin",FILM- 134B,Amer Film:1960-Pres,0,11,23,42,65,39,14,20,1,2,0,0,0
,FILM- 160,Film Genres,0,5,6,12,13,11,5,4,2,0,1,1,0
"Young,Gary E",LTCR- 53,Inter Poetry Writing,0,15,3,1,0,0,0,0,0,0,1,0,0
"Zachos,James C",EART- 110A,Evolution Of Earth,2,4,5,3,12,10,8,22,1,5,1,0,1
"Zavaleta,Erika S",ENVS- 100,Ecology and Society,1,11,20,23,89,62,52,63,18,3,5,1,0
"Zavanelli,Mary Ida",BIOL- 115L,Eukaryotc Molec Lab,2,8,2,2,1,1,0,0,0,0,0,0,0
,BIOL- 187L,Molec Biotech Lab,6,8,4,2,2,5,0,1,0,0,0,0,0
"Zavella,Patricia J",LALS- 175,"Migratn, Gndr, Hlth",5,12,5,5,3,4,3,1,1,1,3,0,0
"Zihlman,Adrienne L",ANTH- 101,Human Evolution,0,6,4,3,4,1,1,3,14,5,4,5,4
